== 1
run,"C:\Users\f090393\Desktop\CodeV_prove\Updated_macro\macro_op_CLAUDIA_improved.seq";GO
1030.000004,3.249991,-1.000511
1030.000005,3.249989,-1.250508
1030.000006,3.249987,-1.500505
1030.000007,3.249984,-1.750502
1030.000008,3.249982,-2.000498
1030.000009,3.249980,-2.250494
1030.000010,3.249978,-2.500489
1030.000011,3.249976,-2.750483
1030.000012,3.249974,-3.000477
1030.000013,3.249972,-3.250471
1030.000014,3.249969,-3.500464
1030.000014,3.249967,-3.750456
1030.000015,3.249965,-4.000449
1030.000016,3.249963,-4.250440
1030.000017,3.249961,-4.500431
1030.000018,3.249959,-4.750422
1030.000019,3.249957,-5.000412
1030.000020,3.249955,-5.250402
1029.999980,3.000041,5.249596
1029.999981,3.000040,4.999586
1029.999982,3.000038,4.749576
1029.999983,3.000036,4.499567
1029.999984,3.000034,4.249558
1029.999985,3.000032,3.999549
1029.999985,3.000030,3.749541
1029.999986,3.000028,3.499534
1029.999987,3.000026,3.249527
1029.999988,3.000024,2.999521
1029.999989,3.000022,2.749515
1029.999990,3.000020,2.499509
1029.999991,3.000018,2.249504
1029.999992,3.000016,1.999500
1029.999993,3.000014,1.749496
1029.999994,3.000012,1.499492
1029.999995,3.000010,1.249489
1029.999996,3.000008,0.999487
1029.999997,3.000006,0.749485
1029.999998,3.000004,0.499484
1029.999999,3.000002,0.249483
1030.000000,3.000000,-0.000517
1030.000001,2.999998,-0.250517
1030.000002,2.999996,-0.500516
1030.000003,2.999994,-0.750515
1030.000004,2.999992,-1.000513
1030.000005,2.999990,-1.250511
1030.000006,2.999988,-1.500508
1030.000007,2.999986,-1.750504
1030.000008,2.999984,-2.000500
1030.000009,2.999982,-2.250496
1030.000010,2.999980,-2.500491
1030.000011,2.999978,-2.750485
1030.000012,2.999976,-3.000479
1030.000013,2.999974,-3.250473
1030.000014,2.999972,-3.500466
1030.000015,2.999970,-3.750459
1030.000015,2.999968,-4.000451
1030.000016,2.999966,-4.250442
1030.000017,2.999964,-4.500433
1030.000018,2.999962,-4.750424
1030.000019,2.999960,-5.000414
1030.000020,2.999958,-5.250404
1029.999979,2.750040,5.499605
1029.999980,2.750038,5.249594
1029.999981,2.750036,4.999584
1029.999982,2.750035,4.749574
1029.999983,2.750033,4.499565
1029.999984,2.750031,4.249556
1029.999984,2.750029,3.999547
1029.999985,2.750028,3.749539
1029.999986,2.750026,3.499532
1029.999987,2.750024,3.249525
1029.999988,2.750022,2.999518
1029.999989,2.750020,2.749512
1029.999990,2.750019,2.499507
1029.999991,2.750017,2.249502
1029.999992,2.750015,1.999498
1029.999993,2.750013,1.749494
1029.999994,2.750011,1.499490
1029.999995,2.750009,1.249487
1029.999996,2.750007,0.999485
1029.999997,2.750006,0.749483
1029.999998,2.750004,0.499482
1029.999999,2.750002,0.249481
1030.000000,2.750000,-0.000519
1030.000001,2.749998,-0.250519
1030.000002,2.749996,-0.500518
1030.000003,2.749994,-0.750517
1030.000004,2.749992,-1.000515
1030.000005,2.749991,-1.250513
1030.000006,2.749989,-1.500510
1030.000007,2.749987,-1.750506
1030.000008,2.749985,-2.000502
1030.000009,2.749983,-2.250498
1030.000010,2.749981,-2.500493
1030.000011,2.749979,-2.750488
1030.000012,2.749978,-3.000482
1030.000013,2.749976,-3.250475
1030.000014,2.749974,-3.500468
1030.000015,2.749972,-3.750461
1030.000015,2.749970,-4.000453
1030.000016,2.749969,-4.250444
1030.000017,2.749967,-4.500435
1030.000018,2.749965,-4.750426
1030.000019,2.749964,-5.000416
1030.000020,2.749962,-5.250406
1030.000021,2.749960,-5.500395
1029.999979,2.500036,5.499603
1029.999980,2.500035,5.249592
1029.999981,2.500033,4.999582
1029.999982,2.500032,4.749572
1029.999983,2.500030,4.499563
1029.999984,2.500028,4.249554
1029.999984,2.500027,3.999545
1029.999985,2.500025,3.749538
1029.999986,2.500024,3.499530
1029.999987,2.500022,3.249523
1029.999988,2.500020,2.999517
1029.999989,2.500019,2.749511
1029.999990,2.500017,2.499505
1029.999991,2.500015,2.249500
1029.999992,2.500014,1.999496
1029.999993,2.500012,1.749492
1029.999994,2.500010,1.499488
1029.999995,2.500008,1.249485
1029.999996,2.500007,0.999483
1029.999997,2.500005,0.749481
1029.999998,2.500003,0.499480
1029.999999,2.500002,0.249479
1030.000000,2.500000,-0.000521
1030.000001,2.499998,-0.250521
1030.000002,2.499997,-0.500520
1030.000003,2.499995,-0.750519
1030.000004,2.499993,-1.000517
1030.000005,2.499991,-1.250515
1030.000006,2.499990,-1.500512
1030.000007,2.499988,-1.750508
1030.000008,2.499986,-2.000504
1030.000009,2.499985,-2.250500
1030.000010,2.499983,-2.500495
1030.000011,2.499981,-2.750489
1030.000012,2.499980,-3.000483
1030.000013,2.499978,-3.250477
1030.000014,2.499976,-3.500470
1030.000015,2.499975,-3.750463
1030.000015,2.499973,-4.000455
1030.000016,2.499972,-4.250446
1030.000017,2.499970,-4.500437
1030.000018,2.499968,-4.750428
1030.000019,2.499967,-5.000418
1030.000020,2.499965,-5.250408
1030.000021,2.499964,-5.500397
1029.999978,2.250034,5.749613
1029.999979,2.250033,5.499601
1029.999980,2.250031,5.249591
1029.999981,2.250030,4.999580
1029.999982,2.250028,4.749571
1029.999983,2.250027,4.499561
1029.999984,2.250026,4.249552
1029.999984,2.250024,3.999544
1029.999985,2.250023,3.749536
1029.999986,2.250021,3.499528
1029.999987,2.250020,3.249521
1029.999988,2.250018,2.999515
1029.999989,2.250017,2.749509
1029.999990,2.250015,2.499503
1029.999991,2.250014,2.249498
1029.999992,2.250012,1.999494
1029.999993,2.250011,1.749490
1029.999994,2.250009,1.499487
1029.999995,2.250008,1.249484
1029.999996,2.250006,0.999481
1029.999997,2.250005,0.749479
1029.999998,2.250003,0.499478
1029.999999,2.250001,0.249477
1030.000000,2.250000,-0.000523
1030.000001,2.249998,-0.250523
1030.000002,2.249997,-0.500522
1030.000003,2.249995,-0.750521
1030.000004,2.249994,-1.000519
1030.000005,2.249992,-1.250516
1030.000006,2.249991,-1.500514
1030.000007,2.249989,-1.750510
1030.000008,2.249988,-2.000506
1030.000009,2.249986,-2.250502
1030.000010,2.249985,-2.500497
1030.000011,2.249983,-2.750491
1030.000012,2.249982,-3.000485
1030.000013,2.249980,-3.250479
1030.000014,2.249979,-3.500472
1030.000015,2.249977,-3.750464
1030.000015,2.249976,-4.000456
1030.000016,2.249974,-4.250448
1030.000017,2.249973,-4.500439
1030.000018,2.249971,-4.750430
1030.000019,2.249970,-5.000420
1030.000020,2.249969,-5.250409
1030.000021,2.249967,-5.500399
1030.000022,2.249966,-5.750388
1029.999978,2.000030,5.749611
1029.999979,2.000029,5.499600
1029.999980,2.000028,5.249589
1029.999981,2.000027,4.999579
1029.999982,2.000025,4.749569
1029.999983,2.000024,4.499560
1029.999984,2.000023,4.249551
1029.999984,2.000021,3.999542
1029.999985,2.000020,3.749534
1029.999986,2.000019,3.499527
1029.999987,2.000018,3.249520
1029.999988,2.000016,2.999513
1029.999989,2.000015,2.749507
1029.999990,2.000014,2.499502
1029.999991,2.000012,2.249497
1029.999992,2.000011,1.999492
1029.999993,2.000010,1.749488
1029.999994,2.000008,1.499485
1029.999995,2.000007,1.249482
1029.999996,2.000005,0.999480
1029.999997,2.000004,0.749478
1029.999998,2.000003,0.499476
1029.999999,2.000001,0.249476
1030.000000,2.000000,-0.000525
1030.000001,1.999999,-0.250524
1030.000002,1.999997,-0.500524
1030.000003,1.999996,-0.750522
1030.000004,1.999994,-1.000520
1030.000005,1.999993,-1.250518
1030.000006,1.999992,-1.500515
1030.000007,1.999990,-1.750512
1030.000008,1.999989,-2.000508
1030.000009,1.999988,-2.250503
1030.000010,1.999986,-2.500498
1030.000011,1.999985,-2.750493
1030.000012,1.999984,-3.000487
1030.000013,1.999982,-3.250480
1030.000014,1.999981,-3.500473
1030.000015,1.999980,-3.750466
1030.000015,1.999978,-4.000458
1030.000016,1.999977,-4.250449
1030.000017,1.999976,-4.500440
1030.000018,1.999975,-4.750431
1030.000019,1.999973,-5.000421
1030.000020,1.999972,-5.250411
1030.000021,1.999971,-5.500400
1030.000022,1.999970,-5.750389
1029.999977,1.750028,5.999621
1029.999978,1.750026,5.749610
1029.999979,1.750025,5.499599
1029.999980,1.750024,5.249588
1029.999981,1.750023,4.999578
1029.999982,1.750022,4.749568
1029.999983,1.750021,4.499558
1029.999984,1.750020,4.249549
1029.999984,1.750019,3.999541
1029.999985,1.750018,3.749533
1029.999986,1.750017,3.499525
1029.999987,1.750015,3.249518
1029.999988,1.750014,2.999512
1029.999989,1.750013,2.749506
1029.999990,1.750012,2.499500
1029.999991,1.750011,2.249495
1029.999992,1.750010,1.999491
1029.999993,1.750008,1.749487
1029.999994,1.750007,1.499484
1029.999995,1.750006,1.249481
1029.999996,1.750005,0.999478
1029.999997,1.750004,0.749476
1029.999998,1.750002,0.499475
1029.999999,1.750001,0.249474
1030.000000,1.750000,-0.000526
1030.000001,1.749999,-0.250526
1030.000002,1.749998,-0.500525
1030.000003,1.749996,-0.750524
1030.000004,1.749995,-1.000522
1030.000005,1.749994,-1.250519
1030.000006,1.749993,-1.500516
1030.000007,1.749992,-1.750513
1030.000008,1.749990,-2.000509
1030.000009,1.749989,-2.250505
1030.000010,1.749988,-2.500500
1030.000011,1.749987,-2.750494
1030.000012,1.749986,-3.000488
1030.000013,1.749985,-3.250482
1030.000014,1.749983,-3.500475
1030.000015,1.749982,-3.750467
1030.000016,1.749981,-4.000459
1030.000016,1.749980,-4.250451
1030.000017,1.749979,-4.500442
1030.000018,1.749978,-4.750432
1030.000019,1.749977,-5.000422
1030.000020,1.749976,-5.250412
1030.000021,1.749975,-5.500401
1030.000022,1.749973,-5.750390
1030.000023,1.749972,-6.000379
1029.999977,1.500024,5.999620
1029.999978,1.500023,5.749609
1029.999979,1.500022,5.499598
1029.999980,1.500021,5.249587
1029.999981,1.500020,4.999577
1029.999982,1.500019,4.749567
1029.999983,1.500018,4.499557
1029.999983,1.500017,4.249548
1029.999984,1.500016,3.999540
1029.999985,1.500015,3.749532
1029.999986,1.500014,3.499524
1029.999987,1.500013,3.249517
1029.999988,1.500012,2.999511
1029.999989,1.500011,2.749505
1029.999990,1.500010,2.499499
1029.999991,1.500009,2.249494
1029.999992,1.500008,1.999490
1029.999993,1.500007,1.749486
1029.999994,1.500006,1.499482
1029.999995,1.500005,1.249479
1029.999996,1.500004,0.999477
1029.999997,1.500003,0.749475
1029.999998,1.500002,0.499474
1029.999999,1.500001,0.249473
1030.000000,1.500000,-0.000527
1030.000001,1.499999,-0.250527
1030.000002,1.499998,-0.500526
1030.000003,1.499997,-0.750525
1030.000004,1.499996,-1.000523
1030.000005,1.499995,-1.250521
1030.000006,1.499994,-1.500518
1030.000007,1.499993,-1.750514
1030.000008,1.499992,-2.000510
1030.000009,1.499991,-2.250506
1030.000010,1.499990,-2.500501
1030.000011,1.499989,-2.750495
1030.000012,1.499988,-3.000489
1030.000013,1.499987,-3.250483
1030.000014,1.499986,-3.500476
1030.000015,1.499985,-3.750468
1030.000016,1.499984,-4.000460
1030.000016,1.499983,-4.250452
1030.000017,1.499982,-4.500443
1030.000018,1.499981,-4.750433
1030.000019,1.499980,-5.000424
1030.000020,1.499979,-5.250413
1030.000021,1.499978,-5.500402
1030.000022,1.499977,-5.750391
1030.000023,1.499976,-6.000380
1029.999977,1.250020,5.999620
1029.999978,1.250019,5.749608
1029.999979,1.250018,5.499597
1029.999980,1.250017,5.249586
1029.999981,1.250017,4.999576
1029.999982,1.250016,4.749566
1029.999983,1.250015,4.499556
1029.999983,1.250014,4.249547
1029.999984,1.250013,3.999539
1029.999985,1.250013,3.749531
1029.999986,1.250012,3.499523
1029.999987,1.250011,3.249516
1029.999988,1.250010,2.999510
1029.999989,1.250009,2.749504
1029.999990,1.250009,2.499498
1029.999991,1.250008,2.249493
1029.999992,1.250007,1.999489
1029.999993,1.250006,1.749485
1029.999994,1.250005,1.499481
1029.999995,1.250004,1.249478
1029.999996,1.250003,0.999476
1029.999997,1.250003,0.749474
1029.999998,1.250002,0.499473
1029.999999,1.250001,0.249472
1030.000000,1.250000,-0.000528
1030.000001,1.249999,-0.250528
1030.000002,1.249998,-0.500527
1030.000003,1.249997,-0.750526
1030.000004,1.249997,-1.000524
1030.000005,1.249996,-1.250522
1030.000006,1.249995,-1.500519
1030.000007,1.249994,-1.750515
1030.000008,1.249993,-2.000511
1030.000009,1.249992,-2.250507
1030.000010,1.249991,-2.500502
1030.000011,1.249991,-2.750496
1030.000012,1.249990,-3.000490
1030.000013,1.249989,-3.250484
1030.000014,1.249988,-3.500477
1030.000015,1.249987,-3.750469
1030.000016,1.249986,-4.000461
1030.000016,1.249986,-4.250453
1030.000017,1.249985,-4.500444
1030.000018,1.249984,-4.750434
1030.000019,1.249983,-5.000425
1030.000020,1.249983,-5.250414
